Panel_Source,Collected_Month,Total_Respondents_Count,Gender_Male_Count,Gender_Female_Count,Age_18_19_Count,Age_20_29_Count,Age_30_39_Count,Age_40_49_Count,Age_50_59_Count,Age_60_69_Count,Age_70_99_Count,SES_Personal_A_Count,SES_Personal_B_Plus_Count,SES_Personal_B_Count,SES_Personal_C_Plus_Count,SES_Personal_C_Count,SES_Personal_D_Count,SES_Personal_E_Count,SES_Personal_Unspecified_Count,SES_Household_A_Count,SES_Household_B_Plus_Count,SES_Household_B_Count,SES_Household_C_Plus_Count,SES_Household_C_Count,SES_Household_D_Count,SES_Household_E_Count,SES_Household_Unspecified_Count,Occupation_Government_Count,Occupation_Professional_Count,Occupation_Commercial_Service_Count,Occupation_Student_Count,Occupation_General_Labor_Count,Occupation_Unemployed_Count,Occupation_Housewife_Count,Occupation_Others_Count,Occupation_Unspecified_Count,Employment_Employed_Someone_Else_More_30_Hrs_Count,Employment_Employed_Someone_Else_Less_30_Hrs_Count,Employment_Self_Employed_Count,Employment_Not_Employed_Looking_Count,Employment_Student_Count,Employment_Housewife_Count,Employment_Not_Employed_Other_Count,Employment_Unspecified_Count,Region_Bangkok_Metropolitan_Count,Region_Central_Count,Region_Northeast_Count,Region_North_Count,Region_East_Count,Region_West_Count,Region_South_Count,Region_Unspecified_Count,Cars_At_Home_0_Count,Cars_At_Home_1_Count,Cars_At_Home_2_Count,Cars_At_Home_3_Or_More_Count,Cars_At_Home_Unspecified_Count,Car_Owner_Yourself_Count,Car_Owner_Spouse_Count,Car_Owner_Parent_Count,Car_Owner_Child_Count,Car_Owner_Grandparents_Count,Car_Owner_Brothers_Sisters_Count,Car_Owner_Others_Count,Car_Owner_Dont_Know_Count
DS,2025-04-01,98614,39043,59571,11369,45365,25045,11796,3461,1009,569,788,1994,5580,8415,21669,12345,18920,28903,1263,8460,10749,10117,17457,10870,15047,24651,4567,4027,6441,0.0,1782,0.0,0.0,22040,59757,28233,3952,11828,14289,15840,3267,5197,16008,30793,13702,22225,8868,7753,3773,11500,0.0,19030,34676,13631,7309,0.0,20796,4158,17023,437,1074,3678,1635,2400
MS,2025-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
DS,2025-05-01,101638,39649,61989,12243,47352,25267,11800,3420,985,571,769,2037,5745,8679,22689,12899,20085,28735,1310,8590,11024,10357,18506,11305,15922,24624,4778,4093,6577,0.0,1834,0.0,0.0,22769,61587,29782,4112,12186,15443,17304,3383,5505,13923,26264,10451,20741,8669,7286,3535,10769,0.0,20033,36146,14400,7870,0.0,21470,4330,18308,444,1196,3841,1716,2599
MS,2025-05-01,8701,2734,5853,187,2311,2986,2008,779,182,23,137,547,413,0,304,233,0,6677,139,577,439,0,330,248,0,6530,0,1551,0,0.0,97,0.0,248.0,0,6805,0,0,0,0,0,0,0,8701,5244,315,910,369,432,0,522,909.0,0,0,0,0,8701.0,0,0,0,0,0,0,0,8701
DS,2025-06-01,102954,39757,63197,12462,48091,25470,11944,3440,979,567,754,2057,5793,8756,23041,13123,20303,29127,1325,8661,11106,10433,18856,11489,16100,24984,4826,4117,6642,0.0,1837,0.0,0.0,23096,62436,30326,4198,12300,15794,17603,3463,5579,13691,33907,11742,23630,9626,8253,3944,11851,0.0,20338,36583,14582,7975,0.0,21712,4394,18632,447,1202,3917,1741,2631
MS,2025-06-01,8701,2734,5853,187,2311,2986,2008,779,182,23,137,547,413,0,304,233,0,6677,139,577,439,0,330,248,0,6530,0,1551,0,0.0,97,0.0,248.0,0,6805,0,0,0,0,0,0,0,8701,5244,315,910,369,432,0,522,909.0,0,0,0,0,8701.0,0,0,0,0,0,0,0,8701
DS,2025-07-01,104893,39695,65198,13015,49155,25722,12112,3432,959,497,760,2032,5849,9028,24067,13543,21030,28584,1321,8871,11414,10881,19631,11822,16416,24537,5003,4216,6770,0.0,1815,0.0,0.0,23795,63294,31722,4416,12701,16764,18366,3681,5635,11608,34227,12119,24078,9945,8522,4060,11941,0.0,21232,37981,14889,8228,0.0,22194,4533,19322,446,1246,4057,1779,2735
MS,2025-07-01,8701,2734,5853,187,2311,2986,2008,779,182,23,137,547,413,0,304,233,0,6677,139,577,439,0,330,248,0,6530,0,1551,0,0.0,97,0.0,248.0,0,6805,0,0,0,0,0,0,0,8701,5244,315,910,369,432,0,522,909.0,0,0,0,0,8701.0,0,0,0,0,0,0,0,8701
DS,2025-08-01,109813,40561,69252,13457,51662,27129,12561,3540,985,479,814,2160,6260,9632,25635,14170,21733,29409,1392,9341,12057,11586,20853,12466,16912,25206,5247,4366,7027,0.0,1869,0.0,0.0,25225,66079,33846,4643,13393,17630,19150,3936,5926,11289,36436,12623,24810,10349,9036,4202,12359,0.0,22174,39987,15730,8743,0.0,23337,4925,20474,443,1285,4296,1851,2823
MS,2025-08-01,8701,2734,5853,187,2311,2986,2008,779,182,23,137,547,413,0,304,233,0,6677,139,577,439,0,330,248,0,6530,0,1551,0,0.0,97,0.0,248.0,0,6805,0,0,0,0,0,0,0,8701,5244,315,910,369,432,0,522,909.0,0,0,0,0,8701.0,0,0,0,0,0,0,0,8701
